name,price,spec_score,user_rating,cpu1,cpu2,ram,hdd,ssd,gpu,display,os,warranty
Dell Alienware 15 (A569956SIN9) Laptop (7th Gen Ci7/ 8GB/ 1TB 256GB SSD/ Win10/ 6GB Graph),163679,66,4.15,7th Gen Intel Core i7 7700HQ,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,6 GB NVIDIA Geforce GTX 1060,"15.6 inches, 1920 x 1080 pixels",Windows OS,NULL
Dell Alienware 15 (Z569983SIN9) Laptop (6th Gen Ci7/ 16GB/ 1TB 512GB SSD/ Win10/ 8GB Graph),198000,69,4.6,6th Gen Intel Core i7 6700HQ,"Quad Core, 8 Threads",16 GB DDR4 RAM,1 TB Hard Disk,512 GB SSD,8 GB NVIDIA Geforce GTX 1070,"15.6 inches, 1920 x 1080 pixels",Windows OS,NULL
Dell Alienware 15 Laptop (7th Gen Ci7/ 16GB/ 1TB 512GB SSD/ Win10 Home/ 8GB Graph),208319,70,3.85,7th Gen Intel Core i7 7th,Quad Core,16 GB DDR4 RAM,1 TB Hard Disk,512 GB SSD,8 GB NVIDIA GeForce GTX 1070,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,NULL
Dell Alienware 15 Laptop (7th Gen Ci7/ 32GB/ 1TB SSD/ Win10 Home/ 8GB Graph),260259,65,3.1,7th Gen Intel Core i7-7820HK,NULL,32 GB DDR4 RAM,1 TB Hard Disk,1 TB SSD,8 GB NVIDIA Geforce GTX 1080,"15.6 inches, 1920 x 1080 pixels",Windows OS,NULL
Dell Alienware 17 Laptop (7th Gen Ci7/ 32GB/ 1TB HDD/ 2TB SSD/ Win10 Home/ 8GB Graph),312499,63,4.05,7th Gen Intel Core i7-7700HQ,NULL,32 GB DDR4 RAM,1 TB Hard Disk,2 TB SSD,8 GB NVIDIA GeForce GTX 1070,"17.3 inches, 1920 x 1080 pixels",Windows OS,NULL
Dell Alienware 15 (Z569953HIN9) Laptop (6th Gen Ci7/ 16GB/ 1TB 512GB SSD/ Win10/ 8GB Graph),141890,NULL,3.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dell Alienware 17 Laptop (6th Gen Ci7/ 16GB/ 1TB/ Win10/ 8GB Graph),159999,NULL,3.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dell Alienware 15 (Z549952HIN8) Laptop (6th Gen Ci7/ 16GB/ 1TB 256GB SSD/ Win10/ 8GB Graph),159830,NULL,3.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dell Alienware 17 (Z569972HIN9) Laptop (6th Gen Ci7/ 16GB/ 1TB/ Win10/ 8GB Graph),226596,NULL,4.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dell Alienware 15 (Y569951HIN9) Laptop (6th Gen Ci5/ 8GB/ 1TB/ Win10/ 2GB Graph),152798,NULL,3.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
